Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
26,State/UT-wise Details of Dropout Rate in Schools at Elementary Level of Education as per Unified District Information System for Education Plus (UDISE+) from 2019-20 to 2023-24 - Punjab,40acf6e6-f6a1-4023-a692-006ffbb4a6a5,2025-08-11,131,0
27,State/UT-wise Details of Dropout Rate by Level of Education as per Unified District Information System for Education Plus (UDISE+) during 2022-23 and 2023-24 - Rajasthan,7167e28b-24d6-4a35-859b-19a999f8e50d,2025-08-11,342,0
28,Year-wise Details of Contractual Appointments in National Council for Teachers Education (NCTE) from 2020 to 2025 - Sikkim,0390beed-8a98-4f87-a28b-1c489f3128ff,2025-08-11,284,0
29,State/UT-wise Datails of Expenditure on Education & Training by Education & Other Departments to Gross State Domestic Product (GSDP) during 2021-22 - Tamil Nadu,5094624e-2f48-4a83-ba94-3bce399f872c,2025-08-11,300,0
30,"Year-wise Details of Budget Allocation under Samagra Shiksha Scheme as per the Right of Children to Free and Compulsory Education Act, 2009 from 2021-22 to 2024-25 - Telangana",2c3e7fab-ec51-44b7-a4af-b58fa467815a,2025-08-10,437,0
31,Scheme-wise Details of Annual Budget Allocations and Actual Expenditure Incurred under Specific Higher Education Scheme from 2019-20 to 2023-24 - Tripura,561f02ac-aaec-4896-8de4-8bedcb8d6fc0,2025-08-10,487,0
32,Year-wise Details of Total Expenditure on Higher Education (Union and States Combined) and Percentage of Central Expenditure on Education to Gross Domestic Product (GDP) from 2017-18 to 2021-22 - Uttar Pradesh,04c6c64e-b58f-481b-97b4-95086470e2b0,2025-08-10,243,0
33,Year-wise Details of Budget Allocation Increased for Consistent under Pradhan Mantri Uchchatar Shiksha Abhiyan (PM-USHA) in Higher Education from 2021-22 to 2025-26 - Uttarakhand,d000fb29-61a0-43ec-8d98-3b0bad43c45d,2025-08-10,86,0
34,Year-wise Details of Budget Allocation for Ministry of Agriculture & Farmers Welfare and Department of Agricultural Research and Education (DARE) Detailed from 2020-21 to 2024-25 - West Bengal,7a310b42-f6b5-4da0-a293-8c54f5e31ac5,2025-08-10,452,0
35,Scheme-wise Details of Funds Utilized under Schemes Implemented by Department of Agricultural Research and Education (DARE) from 2020-21 to 2024-25 - Andaman and Nicobar Islands,9c71bf5c-ec7e-474b-93a5-cc9f8884d12d,2025-08-10,208,0
36,Year-wise Details of Budget Allocations for Department of Agriculture & Farmers Welfare (DA&FW) and Department of Agricultural Research and Education (DARE) from 2020-21 to 2024-25 - Chandigarh,d70f8f0b-6f59-400f-a2d4-32462b8b225c,2025-08-10,467,0
37,"State/UT-wise Details of Information, Education and Communication (IEC) Expenditure under Swachh Bharat Mission-Grameen (SBM-G) from 2014-15 to 2022-23 - Dadra and Nagar Haveli",33744bd4-508b-4d37-b3ab-fbf9d2cb4163,2025-08-10,91,0
38,State/UT-wise Details of Funds Released by National Education Society for Tribal Students (NESTS) under Eklavya Model Residential School (EMRS) Scheme from 2020-21 to 2024-25 - Daman and Diu,755156b5-a851-4be5-8c33-e3b0ffb9a9d2,2025-08-10,462,0
39,Year-wise Number of Students Receiving Complete Tuition Fee Waivers in Indian Institutes of Technology (IITs) and Indian Institutes of Science Education and Research (IISERs) from 2022-23 to 2024-25 - Lakshadweep,a711b620-f87f-4076-815f-16700c785f08,2025-08-10,339,0
40,"State/UT-wise Financial Assistance Provided by Department of Social Justice and Empowerment for Education, Skill Development, and Entrepreneurship of Marginalized Groups (in Reply to Starred Question on 26 March 2025) - Delhi",d165d44f-246d-4b6f-bfc6-8aee7ba2f81c,2025-08-10,326,0
41,Year-wise Total Number of Claims Approved by Investor Education and Protection Fund Authority (IEPFA) from 2021-22 to 2024-25 - Puducherry,4767997d-5cb8-4ae5-a12f-e226ea20f5b4,2025-08-10,217,0
42,State/UT-wise Details of Public Sector Banks (PSBs) on Education Loan for Overseas Students from 01-04-2019 to 31-03-2024 - Ladakh,fa753d90-b1d0-4cac-86f1-bd1362fd5eb0,2025-08-07,402,0
43,Project-wise Details of Funds Released and Number of Units Projects Approved in Education Sector Across the Country under PMJVK Scheme (In reply to Unstarred Question as on 24th March 2025) - Andhra Pradesh,41b461af-ee2e-4783-b198-c284727b5a21,2025-08-07,198,0
44,Year-wise Number of Students Disclosed their Purpose of Visit as Study/Education while Going Abroad as per Bureau of Immigration from 2022 to 2024 - Arunachal Pradesh,55c6d2f9-af01-49ee-abd4-77cc788b9298,2025-07-20,491,0
45,Year-wise Details of GST Revenue Collected on Education Services from 2021-22 to 2023-24 - Assam,41ea6ef0-7e77-4919-8325-685aa4a3b77f,2025-07-20,105,0
46,Stage-wise Details of Professionally Qualified Teachers in School Education - All Types of Management during 2023-24,5a0b4b9c-0d02-4f2f-bc04-ee3ac2fefc25,2025-06-27,360,0
47,Year-wise Details of Scholarships Sanctioned for Socio-Economic and Educational Empowerment of Minorities in Odisha from 2018-19 to 2022-23,8a138b00-0c0b-436e-9002-0fa8ff18b8dc,2025-06-27,404,0
48,State/UT-wise Number of Reduction of Schools in the Country as per Unified District Information System for Education Plus (UDISE+) from 2020-21 to 2023-24 - Chhattisgarh,8be3ef2c-af00-480a-80a5-7415788d8d2a,2025-06-27,255,0
49,State/UT-wise Details of Central Sponsored Scheme (CSS) for Augmenting Nursing Education during 2023-24 and 2024-25 - Goa,98c9386c-3994-432c-ac44-475ad0a1db00,2025-05-23,223,0
50,Category-wise Details of Major Improvement in Education Infrastructure (in reply to Unstarred Question as on 18th December 2024) - Gujarat,3bd3f850-b14b-4c0a-b4c7-3597a571ea3d,2025-05-22,351,0
51,"Year-wise Details of Funds Returned, Lapsed Surrendered Agricultural Research and Education from 2018-19 to 2023-24 - Haryana",31b7ba9e-b2e4-4df7-a08e-6a359e913de4,2025-05-22,348,0
52,"Year-wise Details of Budget Allocated, Utilized and Unutilized under Agricultural Research and Education from 2018-19 to 2022-23 - Himachal Pradesh",85a3573e-f24f-4ecf-a2b6-a1e68595dbb1,2025-05-22,137,0
53,Year - wise Details of the Student Enrollment in Higher Education of Jammu and Kashmir as per all India Survey on Higher Education (AISHE) from 2018-19 to 2020-21,bd68d15b-0db4-4fcc-99a5-57fcefb3c673,2025-04-25,408,0
54,Year-wise Details of Financial Grants Sanctioned under Maulana Azad Education Foundation from 2019-20 to 2023-24 - Karnataka,67e95658-d207-4a51-9cc3-d27b745e5c5e,2025-04-24,464,0
55,Year-wise Number of Accounts of Education Loan Sanctioned and Amount Disbursed as per the Information Furnished by Public Sector Banks from 2019-20 to 2023-24 - Kerala,16e9c71d-612f-43bc-9bd1-3f677e646d29,2025-04-24,384,0
56,Country-wise Number of Indian Nationals Disclosed their Purpose of visit as Study Education while Going abroad as per Bureau of Immigration (BoI) from 2019 to 2023 - Madhya Pradesh,4dc000f6-e594-473f-99c5-76385f86b30b,2025-04-24,448,0
57,Category-wise Percentage of Government Schools Having Playground at Different Level of Education as per UDISE+ 2021-22 (in reply to Unstarred Question as on 18th December 2024) - Maharashtra,0f5a497e-9d34-4456-9a26-9bc5449e9b52,2025-04-24,408,0
58,Year-wise Number of Foreign Students Enrolled in Indian Higher Educational Institutions as per All India Survey for Higher Education (AISHE) from 2017-18 to 2021-22 - Manipur,fb4fe7e8-9d01-47bd-b8bc-f00f0c0239ff,2025-04-24,195,0
59,Year-wise Number of Indians Disclosed their Purpose of Visit as Study/Education as per Bureau of Immigration (BoI) from 2019 to 2023 - Meghalaya,72c4691f-6f23-4f07-b0b7-33f8bcfaad35,2025-04-24,426,0
60,Category-wise Number of Affiliated Schools Level Central Board of Secondary Education (CBSE) Affiliated Schools as on 13-12-2024 - Mizoram,74a4d611-fafb-4d08-a1db-2bbbf275181b,2025-04-24,389,0
61,Category-wise Data on Indicators of School Education provided as per UDISE Gross Enrolment Ratio (GER) and Total Enrolment during 2021-22 - Nagaland,fd6570ea-c6d8-4933-81bb-0578552e9abd,2025-04-24,418,0
62,State/UT-wise Number of Affiliated School in Middle Class Syllabus to Central Board of Secondary Education (CBSE) Affiliated Schools as on 13-12-2024 - Odisha,c155398d-26ef-48c6-9379-141a173c6d62,2025-04-24,152,0
63,Category-wise Number of Top Ten Specific Subject Areas Maximum Number of Indian Institutions as per National Education Policy (NEP 2020) from 2022 to 2024 - Punjab,1dcb1600-eac0-4553-ab3f-528ee7500515,2025-04-24,265,0
64,State/UT-wise Number of Affiliated School in Secondary Syllabus to Central Board of Secondary Education (CBSE) Affiliated Schools as on 13-12-2025 - Rajasthan,eddb2498-ff3d-4abe-a327-e7465bb11012,2025-04-24,338,0
65,"Year-wise Details of Dropout Rates of Girl Students in Primary, Upper Primary and Secondary Education Levels in Maharashtra as per UDISE form 2018-19 to 2021-22",93f3eba3-27da-4d3e-8941-fb654940d15d,2025-04-24,394,0
66,State/UT-wise Number of Affiliated School in Senior Secondary Syllabus to Central Board of Secondary Education (CBSE) Affiliated Schools as on 13-12-2026 - Sikkim,e453e74e-37d1-47db-b42f-8a20600386cf,2025-04-24,487,0
67,Year-wise Details of the Number of Government Schools Having Hand Wash Facilities as per data recorded in Unified District Information System for Education Plus (UDISE+) from 2013-14 to 2021-22 - Tamil Nadu,ef14af0d-46af-45b5-9f31-1885b78353a2,2025-04-24,452,0
68,"Year-wise Details of Dropout Rate in Primary, Upper Primary and Secondary as Per Data Recorded in the Unified District Information System for Education Plus (UDISE+) from 2017-18 to 2021-22 - Telangana",d54b72f9-95c6-4533-8701-115f9a1beb78,2025-04-24,257,0
69,Year-wise Details of Total Government Schools as Recorded in the Unified District Information System for Education Plus (UDISE+) in the Country from 2017-18 to 2021-22 - Tripura,a0c2c0ba-51c2-40ed-905b-8020a052fd0a,2025-04-24,105,0
70,"Board-wise Numbers and Percentage of Tribal Students Passed in Class XII as per Record Received from the Department of School Education and Literacy (DoSE&L),from 2016 to 2020 - Uttar Pradesh",01d4f352-c2ac-4c07-9c9d-112b52d390da,2025-04-24,357,0
71,"Board-wise Numbers and Percentage of Tribal Students Completing the 10th Standard as per Record from the Department of School Education and Literacy (DoSE&L), from 2016 to 2020 - Uttarakhand",e9673c17-4542-4d60-9090-15d6e1b43b3f,2025-04-24,367,0
72,"Year-wise Details of Total Appointment in Universities, Colleges and Stand-alone Institutions as per All Survey on Higher Education (AISHE) from 2014-15 to 2021-22 - West Bengal",8b83b742-e783-4ed5-bb06-1988f290ac37,2025-04-24,347,0
73,Year-wise Details of Funds Relased scholarship schemes for the Higher Education and Foreign Education Scholarships from 2017-18 to 2021-22 - Andaman and Nicobar Islands,74313750-b792-41d5-8e62-9744c8c069ab,2025-04-24,281,0
74,State/UT-wise Dropout Rate by level of Education and Gender during 2021-22 - Chandigarh,9a8f0c4a-2c6d-4029-b005-01b163eb5a70,2025-04-11,291,0
75,"State/UT-wise Number of Enrolment of Students by Gender, All Age-group and Level of Education during 2021-22 - Dadra and Nagar Haveli",939f26d4-663c-4b2c-aa0b-67e87262b49d,2025-04-11,488,0
76,Year-wise Details of total Expenditure on Education (Centre and Stats/UTs) from 2016-17 to 2020-21 - Daman and Diu,b5f742fb-4cef-4489-a405-14e9ab84b7ea,2025-03-27,487,0
77,Educational Qualification-wise Details of Job-seekers Registered on National Career Service (NCS) Portal as on 20-11-2023 - Lakshadweep,79d62abf-7985-4c3e-8470-a738fe017049,2025-03-27,397,0
78,State-wise Detail of Funds Released under Scheme for Providing Quality Education in Madarsas (SPQEM) and Infrastructure Development in Minority Institutions (IDMI) from 2018-19 to 2021-22 - Delhi,27e10871-a92d-4b2a-a4ff-8a53809a4f30,2025-03-27,250,0
79,"Year-wise Details of Expenditure Incurred under Information, Education and Communication (IEC) Scheme from 2020-21 to 2022-23 - Puducherry",e34bfde4-6c27-4dcd-80a9-37e3ad7f1a6c,2025-03-27,338,0
80,State/UT-wise Number of Educational Institutions Granted Minority Status Certificate by the National Commission for Minority Educational Institutions from 2018-19 to 2022-23 - Ladakh,18da082b-3d47-4f0f-bb88-fb654732d025,2025-03-27,80,0
81,Year-wise Total Number of Female Scholars and Total Amount Released Innovation in Science Pursuit for Inspired Research (INSPIRE) - Scholarship for Higher Education (SHE) from 2018-19 to 2022-23,54fb4df0-2fe3-44fd-9889-1aad01bfbe1e,2025-03-27,72,0
82,Year-wise Total Number of Innovation in Science Pursuit for Inspired Research (INSPIRE) - Scholarship for Higher Education (SHE) Scholars (Male + Female) and Total Amount Released from 2018-19 to 2022-23,7e6f9ecb-6eb4-41e0-9317-a2e9a1228921,2025-03-27,417,0
83,Scheme-wise Details of Allocated Fund and Expenditure to Promote and Encourage Basic and Higher Education from 2021-22 to 2022-23 - Assam,1e702386-8311-46d1-baa8-96054e14e095,2025-03-27,77,0
84,States/UT-wise Gross Enrolment Ratio (GER) in Higher Education Based on 2011 Population census projection for 18-23 age group during 2021-22 - Bihar,7edbaeed-65e9-43ad-8f81-730187b70463,2025-03-27,378,0
85,State/UT-wise Details of Loan Guaranteed under Credit Guarantee Fund Scheme for Education Loans (CGFSEL) as on 31-10-2023 - Chhattisgarh,71242c8e-9009-43fb-9483-1e351553ac9d,2025-03-27,465,0
86,Year-wise Details of Educational Loan Targets for Public Sector Banks (PSBs) from 2020-21 to 2023-24 - Goa,ef39f5fe-8696-4c92-b05b-fc420924b636,2025-03-27,303,0
87,State/UT-wise Details of Educational Loans Disbursed by Public Sector Banks from 2021-22 to 2023-24 - Gujarat,242c92ed-1492-44b3-97a0-f1226dcd386e,2025-03-27,471,0
88,Year-wise Number of Grievances Received Against Private Educational Sector Companies on National Consumer Helpline (NCH) from 2020-21 to 2022-23 - Haryana,25e9d84c-3384-4f2e-ba07-d0c355bbf616,2025-03-27,154,0
89,State-wise Number of Candidates Selected in Various Categories of the North-East with North Eastern Council (NEC) Scholarships for Higher Education Purposes from 2020-21 to 2022-23 - Himachal Pradesh,635e3889-7b22-47b3-a7d2-c70338680e5e,2025-03-27,89,0
90,Year-wise Details of Funds Released by the Ministry to National Education Society for Tribal Students (NESTS) under Eklavya Model Residential School (EMRS) Scheme from 2020-21 to 2022-23 - Jharkhand,1fe2dcf6-e45d-4e9d-a2c4-00cb4077bea2,2025-03-27,306,0
91,State/UT-wise Number of Beneficiaries under National Fellowship Scheme for Higher Education of Scheduled Tribes (ST) Students Scheme from 2018-19 to 2022-23 - Karnataka,c58b5b9d-023f-4a2c-a2f0-111ce7190c9d,2025-03-27,242,0
92,State/UT-wise Number of Beneficiaries under National Fellowship Scheme for Higher Education of Scheduled Tribes (ST) Students (earlier known as Top Class Scheme) from 2018-19 to 2022-23 - Kerala,e64137ed-57cc-4d8b-9d07-387f0035c6c1,2025-03-27,490,0
93,Year-wise Details of Funds Allocated and Utilized in Begum Hazrat Mahal National Scholarship (BHMNS) by Maulana Azad Education Foundation (MAEF) from 2019-20 to 2023-24 - Madhya Pradesh,af0aec98-caf1-464f-bd2b-21e3fd3ab2ac,2025-03-05,480,0
94,Year-wise Details of Total Government Expenditure on Higher Education and Percentage of Central Expenditure on Education to Gross Domestic Product (GDP) from 2016-17 to 2020-21 - Maharashtra,24c9978f-531b-4ec8-85bb-c7a8ca8d92e8,2025-03-05,261,0
95,State/UT-wise Details of Total Number of Government and Private Schools along with the Percentage of Schools having Internet Connection as per Unified District Information System for Education (UDISE+) during 2021-22 - Manipur,66adc2f1-a20e-436f-8e21-d9b17cb8e8b5,2025-03-05,274,0
96,"Sector-wise Percentage of Share of Central and State Governments, Business Enterprises, Higher Education institutions and Private Non-profit organisations such as SIRO in National GERD from 2019-20 to 2020-21 - Meghalaya",d1e71630-1293-41a5-a430-64197e0bb853,2025-03-05,75,0
97,"Socio-Economic Aspect-wise Details of Impact of Financial Assistance Programmes on entrepreneurship, Education and Self-reliance among Tribal Communities under NSTFDC during 2018-19 - Mizoram",aea5565e-a9c4-4f0c-aca0-b522635be015,2025-03-05,100,0
98,State/NE State/UT-wise Details of Funds Released by National Education Society for Tribal Students (NESTS) under Eklavya Model Residential School (EMRS) Scheme from 2021-22 to 2023-24 - Nagaland,28a7af73-e934-43b5-a489-252cef3db38e,2025-03-05,344,0
99,Institution-wise Details of Break-up of Higher Educational Institutions during 2014 - Odisha,66894c9a-69cf-4f1e-bc53-6c823f389aa1,2025-03-05,106,0
100,Year-wise Details of Central Government Increased the Budget Allocation of Ministry of Education (MoE) for Various Activities from 2021-22 to 2024-25 - Punjab,781b02ad-a116-4418-9291-e14aa5c5469c,2025-03-05,56,0
101,Year-wise Details of Gross Enrolment Ratio (GER) by Social Categories and Level of Education from 2018-19 to 2021-22 - Rajasthan,b41afff3-330d-4d7d-8c22-07b6da71e576,2025-03-05,452,0
102,Toilet Facility-wise Total Number of Toilets reported as per Unified District Information System for Education Plus (UDISE+) during 2014-15 and 2021-22 - Sikkim,1efbf3b5-4246-4371-acd3-8762b5b07a7f,2025-01-01,416,0
103,Year-wise Percentage of Schools with Separate Toilets for Girls and Boys as per Unified District Information System for Education Plus (UDISE+) from 2019-20 to 2021-22 - Tamil Nadu,3e57d556-0648-4fa2-a953-bca45c6e07c1,2025-01-01,103,0
104,"State/UT-wise Fund for Capacity Building (CB)/Information Education and Communication (IEC), Human Resources (HR) Microsite and Admin Heads under Ayushman Bharat Digital Mission (ABDM) from 2021-22 to 2023-24 - Telangana",d88b3ec1-2a38-401f-9565-cb62d40050e6,2024-11-03,139,0
105,"Institute-wise Number of Vacancies of Librarian and Library Professional in KVs, NVs, CFTIs, CVs and CEIs under Ministry of Education (in reply to Unstarred Question as on 7th August 2024) - Tripura",de92821f-c0af-461b-b0ab-c90c590f37ff,2024-11-03,205,0
106,"Institute-wise Number of Libraries Functioning in KVs, NVs, CFTIs, CVs and Central Educational Institutions under Ministry of Education (in reply to Unstarred Question as on 7th August 2024) - Uttar Pradesh",212fae7b-198a-4b2f-9a83-1ec65fd4b5a1,2024-11-03,242,0
107,State/UT-wise Number of Centrally Funded Higher Education Institutions (HEIs) Existing before 2014 and at Present in the Country (in reply to Unstarred Question as on 7th August 2024) - Uttarakhand,5daaa2d2-6055-48fa-b64b-a4c663fd2918,2024-11-03,124,0
108,Year-wise Details of Funds Released to Jawaharlal Institute of Post Graduate Medical Education and Research (JIPMER) Puducherry from 2021-22 to 2023-24,300f2bcb-2a11-40fa-b046-9b070df889dd,2024-11-03,266,0
109,State/UT-wise Number of Government (including Union Government-owned) and Private Schools as per Unified District Information System for Education Plus (UDISE+) from 2020-21 to 2021-22 - West Bengal,23aa0e16-2a26-4203-8d92-83d31f37e87c,2024-11-03,342,0
110,State/UT-wise Number of Government (including Union Government-owned) and Private Schools as per Unified District Information System for Education Plus (UDISE+) from 2017-18 to 2019-20 - Andaman and Nicobar Islands,3ffcb448-fb5d-45d9-92ac-130c21dbc1e0,2024-11-03,480,0
111,"Institution-wise Details of Fund Released to Higher Education Information System (HEIS) as per Reports Annual Survey of Higher Education (AISHE) (in Reply to Unstarred Question on 31 July, 2024) - Chandigarh",188d23df-3ffb-4beb-a80d-37371021da9a,2024-11-03,369,0
112,Year-wise Details of Fund Released for Strengthening Education and Training under the Samagra Shiksa Integrated Scheme in Bihar from 2018-19 to 2024-25,c4840f1d-8094-482b-a3cb-9ecc7bb2b61b,2024-11-03,396,0
113,Year-wise Details of Budget Allocation under the new National Education Policy (NEP) from 2021-22 to 2024-25 - Dadra and Nagar Haveli,cbb1d575-a286-4802-913c-e5569c4703aa,2024-11-03,376,0
114,Year-wise Details of Expenses Incurred from SEBI Investor Protection and Education Fund (IPEF) on Investor Awareness and Education Activities from 2019-20 to 2023-24 - Daman and Diu,9b95a330-a302-4088-80cd-fcaf5ec43048,2024-11-03,493,0
115,State/UT-wise Gross Enrolment Rate of Students as per Unified District Information System for Education Plus (UDISE+) at the Level of School Education from 2020-21 to 2021-22 - Lakshadweep,8e2b1126-737e-4739-b3d5-c123c1b79ba6,2024-11-02,74,0
116,State/UT-wise Gross Enrolment Rate of Students as per Unified District Information System for Education Plus (UDISE+) at the Level of School Education during 2019-20 - Delhi,6b6edec3-3366-4287-b9c0-ee9d255a6658,2024-11-02,275,0
117,State/UT-wise Gross Enrolment Rate of Students as per Unified District Information System for Education Plus (UDISE+) at the Level of School Education from 2017-18 to 2018-19 - Puducherry,3df8345e-2878-4ab5-93f4-b33d36ac9202,2024-11-02,243,0
118,Level-wise Dropout Rate of the Girls as per Unified District Information System for Education Plus (UDISE+) from 2019-20 to 2021-22 - Ladakh,766855d7-c13d-404e-a4cb-e971697dfd30,2024-09-12,329,0
119,State/UT-wise Details of Unemployment Rate (UR) on Usual Status for Persons of Age 15 years and Above of Different Highest Level of Education Successfully Completed during 2022-23 - Andhra Pradesh,56f93b71-5c6a-447f-9b3a-b26cb6e2b37f,2024-09-10,405,0
120,Category-wise Details of Gender Parity Index (GPI) at Various Levels of Education Shows Equitable Participation of Girls in School Education as per Report UDISE during 2021-22 - Arunachal Pradesh,f79389cc-0af6-43a3-99f0-2365e36be19e,2024-09-10,189,0
121,Year-wise Details of Funds Released to the Higher Education Institutions for Research Related Activity from 2018-19 to 2022-23 - Assam,b87b39ea-9e8a-4b5c-a698-22199c8ea64f,2024-05-08,351,0
122,Education Level-wise Estimated Unemployment Rate (UR) on usual status for Persons of Age 15 years and above from 2021-22 and 2022-23 - Bihar,bb8821fc-d673-4119-ad7a-0def4d5fabf6,2024-05-08,400,0
123,Year-wise Total Expenditure under under All India Survey in Higher Education (AISHE) from 2018-19 to 2022-23 - Chhattisgarh,a1d6d517-79d0-4416-8551-302288bfc4c7,2024-04-24,84,0
124,City-wise Number of Education and Family Background of Juveniles Apprehended in Metropolitan Cities during 2022 - Goa,f8db2a4c-b426-41d1-bb07-b04761d209a6,2024-04-16,411,0
125,State/UT-wise Number of Education and Family Background of Juveniles Apprehended during 2022 - Gujarat,16679ac9-e00e-4533-b673-c2825da10ace,2024-04-16,384,0
126,State/UT-wise Number of Educational Facilities for Prisoners during 2022 - Haryana,4e6cb5e8-2b70-44cf-8f66-6e695abdb46e,2024-04-16,388,0
127,Institutes-wise Details of Number of Suicides Reported in Higher Education Institutions from 2018 to 2022 - Himachal Pradesh,9dadbf7f-caee-4eaf-ae59-5f50473ff7ac,2024-04-14,234,0
128,Education Level-wise Unemployment Rate (UR) on usual Status for Persons of Age 15 Years and above at various Educational Level below Graduation during 2021-22 - Jharkhand,d3fb389a-08ca-4cdd-a4a9-d9deb1cfb76d,2024-04-14,207,0
129,State/UT-wise Details of the Number of Beneficiaries under the Dr. Ambedkar Scheme of Interest Subsidy on Educational Loans for Overseas Studies for OBCs & EBCs from 2020-21 to 2022-23 - Karnataka,ec4e5e03-399f-4bfd-bc27-ef0572c35e55,2024-04-08,245,0
130,"State/UT-wise Details of Funds Released under Environment Education, Awareness and Training (EEAT) and Environment Education Programme (EEP) from 2018 to 2023 - Kerala",2be803ae-296e-4b2a-a229-2a74acdfc6fe,2024-03-22,309,0
131,Year-wise Details of the Number of Indians Who Disclosed Their Purpose of Visit as Study or Education While Going Abroad from 2018 to 2022 - Madhya Pradesh,634eddf7-b548-404c-adb4-0c7e5b0ffb0d,2024-03-22,182,0
